model,relative_page,ground_truth_chars,prediction_chars,sample_CER,sample_WER,exact_match
glm-ocr,20260622.1099.2026.HN.5877/page-001.txt,1490,3069,1.5523489932885906,0.8544303797468354,False
glm-ocr,20260622.1099.2026.HN.5877/page-002.txt,533,528,0.17636022514071295,0.38095238095238093,False
glm-ocr,20260730.1406.2026.HN.6511/page-001.txt,1260,1215,0.24126984126984127,0.5791505791505791,False
glm-ocr,20260730.1406.2026.HN.6511/page-002.txt,1085,655,0.4986175115207373,0.6682464454976303,False
