model,checkpoint_path,input_image,output_text,latency_sec,prediction_chars
teleocr,/workspace/vlm-handwriting/checkpoints/teleocr/lora_full/checkpoint-1191,/workspace/vlm-handwriting/benchmark/pilot_2_forms/inputs/20260622.1099.2026.HN.5877/page-001.png,/workspace/vlm-handwriting/benchmark/pilot_2_forms/results/20260622.1099.2026.HN.5877/page-001__teleocr.txt,52.90400253213011,1484
teleocr,/workspace/vlm-handwriting/checkpoints/teleocr/lora_full/checkpoint-1191,/workspace/vlm-handwriting/benchmark/pilot_2_forms/inputs/20260622.1099.2026.HN.5877/page-002.png,/workspace/vlm-handwriting/benchmark/pilot_2_forms/results/20260622.1099.2026.HN.5877/page-002__teleocr.txt,51.90853597782552,1036
teleocr,/workspace/vlm-handwriting/checkpoints/teleocr/lora_full/checkpoint-1191,/workspace/vlm-handwriting/benchmark/pilot_2_forms/inputs/20260730.1406.2026.HN.6511/page-001.png,/workspace/vlm-handwriting/benchmark/pilot_2_forms/results/20260730.1406.2026.HN.6511/page-001__teleocr.txt,52.0548251431901,1187
teleocr,/workspace/vlm-handwriting/checkpoints/teleocr/lora_full/checkpoint-1191,/workspace/vlm-handwriting/benchmark/pilot_2_forms/inputs/20260730.1406.2026.HN.6511/page-002.png,/workspace/vlm-handwriting/benchmark/pilot_2_forms/results/20260730.1406.2026.HN.6511/page-002__teleocr.txt,52.46403413708322,1150
