model,checkpoint_path,input_image,output_text,latency_sec,prediction_chars
paddleocr-vl,/workspace/vlm-handwriting/checkpoints/paddleocr_vl/full_sft_3ep_run1/checkpoint-300,/workspace/vlm-handwriting/benchmark/pilot_2_forms/inputs/20260622.1099.2026.HN.5877/page-001.png,/workspace/vlm-handwriting/benchmark/pilot_2_forms/results/20260622.1099.2026.HN.5877/page-001__paddleocr-vl.txt,14.065887874923646,894
paddleocr-vl,/workspace/vlm-handwriting/checkpoints/paddleocr_vl/full_sft_3ep_run1/checkpoint-300,/workspace/vlm-handwriting/benchmark/pilot_2_forms/inputs/20260622.1099.2026.HN.5877/page-002.png,/workspace/vlm-handwriting/benchmark/pilot_2_forms/results/20260622.1099.2026.HN.5877/page-002__paddleocr-vl.txt,13.288148761959746,779
paddleocr-vl,/workspace/vlm-handwriting/checkpoints/paddleocr_vl/full_sft_3ep_run1/checkpoint-300,/workspace/vlm-handwriting/benchmark/pilot_2_forms/inputs/20260730.1406.2026.HN.6511/page-001.png,/workspace/vlm-handwriting/benchmark/pilot_2_forms/results/20260730.1406.2026.HN.6511/page-001__paddleocr-vl.txt,6.184734452050179,927
paddleocr-vl,/workspace/vlm-handwriting/checkpoints/paddleocr_vl/full_sft_3ep_run1/checkpoint-300,/workspace/vlm-handwriting/benchmark/pilot_2_forms/inputs/20260730.1406.2026.HN.6511/page-002.png,/workspace/vlm-handwriting/benchmark/pilot_2_forms/results/20260730.1406.2026.HN.6511/page-002__paddleocr-vl.txt,5.876526811858639,1080
